Total words: 114029
word: they’d frequency: 46
word: somebody frequency: 46
word: world frequency: 46
word: pap frequency: 46
word: glad frequency: 46
word: himself frequency: 46
word:  if frequency: 46
word: er frequency: 46
word: many frequency: 46
word: times frequency: 45
word: ‘bout frequency: 45
word: niggers frequency: 45
word: poor frequency: 45
word: git frequency: 45
word: room frequency: 45
word: mean frequency: 44
word: does frequency: 44
word: feel frequency: 44
word: new frequency: 44
word: getting frequency: 44
word: course frequency: 44
word: free frequency: 44
word: piece frequency: 44
word: own frequency: 43
word: used frequency: 43
word: anyway frequency: 43
word: “but frequency: 43
word: why frequency: 43
word:  when frequency: 43
word: chapter frequency: 43
word: sally frequency: 42
word: ten frequency: 42
word:  jim frequency: 42
word: try frequency: 42
word: days frequency: 42
word: start frequency: 42
word: you’re frequency: 42
word: uncle frequency: 42
word: eyes frequency: 42
word: bank frequency: 41
word: turn frequency: 41
word: white frequency: 41
word: “you frequency: 41
word: jane frequency: 41
word: island frequency: 41
word: boy frequency: 41
word: gwyne frequency: 40
word: stay frequency: 40
word: chance frequency: 40
word: stood frequency: 40
word: sight frequency: 40
word: ready frequency: 40
word: widow frequency: 40
word: sawyer frequency: 40
word: four frequency: 40
word: ben frequency: 39
word: bad frequency: 39
word: you” frequency: 39
word: turned frequency: 39
word: middle frequency: 39
word: best frequency: 39
word: hid frequency: 39
word: name frequency: 39
word: open frequency: 39
word: six frequency: 39
word: stand frequency: 38
word: couple frequency: 38
word: fetched frequency: 38
word:  that frequency: 37
word: face frequency: 37
word: stopped frequency: 37
word: “yes frequency: 37
word: seem frequency: 37
word: sometimes frequency: 37
word: amongst frequency: 37
word: read frequency: 37
word: country frequency: 37
word: considerable frequency: 36
word: i’ve frequency: 36
word: sound frequency: 36
word: end frequency: 36
word: though frequency: 36
word: below frequency: 36
word: works frequency: 36
word: tried frequency: 36
word: across frequency: 36
word: business frequency: 35
word: fool frequency: 35
word: hundred frequency: 35
word: front frequency: 34
word: doctor frequency: 34
word: awful frequency: 34
word: t’other frequency: 34
word:  now frequency: 34
word: shore frequency: 34
word: you’ll frequency: 34
word: slow frequency: 34
word: wait frequency: 34
word: leave frequency: 34
word:  a frequency: 34
word: they’re frequency: 34
word: hour frequency: 34
word: wuz frequency: 33
word: ways frequency: 33
word: thousand frequency: 33
word: sure frequency: 33
word: family frequency: 33
word: thinking frequency: 33
word: we’d frequency: 33
word: may frequency: 33
word: sleep frequency: 33
word: called frequency: 33
word: ‘ll frequency: 32
word: word frequency: 32
word: breakfast frequency: 32
word: allowed frequency: 32
word: idea frequency: 32
word: low frequency: 32
word:  it’s frequency: 32
word: killed frequency: 32
word: year frequency: 32
word: bet frequency: 32
word: clothes frequency: 32
word: second frequency: 32
word: trying frequency: 32
word: talking frequency: 32
word: asleep frequency: 32
word: five frequency: 31
word: she’d frequency: 31
word: shoved frequency: 31
word: laying frequency: 31
word: kill frequency: 31
word: makes frequency: 31
word: lit frequency: 31
word: black frequency: 31
word: fix frequency: 30
word: talked frequency: 30
word: wish frequency: 30
word: showed frequency: 30
word: drunk frequency: 30
word: eat frequency: 30
word: comfortable frequency: 30
word: jim’s frequency: 30
word: else frequency: 30
word: asked frequency: 30
word: agoing frequency: 30
word: sick frequency: 30
word: woman frequency: 30
word: straight frequency: 30
word: bit frequency: 30
word: cabin frequency: 29
word: doing frequency: 29
word: goes frequency: 29
word: floor frequency: 29
word: book frequency: 29
word:  what frequency: 29
word: we’ll frequency: 29
word: gun frequency: 29
word: luck frequency: 29
word: “it’s frequency: 29
word: steal frequency: 29
word: steamboat frequency: 29
word: gentleman frequency: 29
word: write frequency: 28
word: felt frequency: 28
word: shot frequency: 28
word: he’ll frequency: 28
word: road frequency: 28
word: believe frequency: 28
word: you’d frequency: 28
word: boat frequency: 28
word: life frequency: 28
word: high frequency: 28
word: runaway frequency: 28
