Total words: 125257
word: general frequency: 54
word: able frequency: 54
word: whether frequency: 54
word: others frequency: 54
word: gave frequency: 54
word: visit frequency: 53
word: against frequency: 53
word: side frequency: 53
word: pemberley frequency: 53
word: took frequency: 53
word: why frequency: 53
word: people frequency: 53
word: acquaintance frequency: 52
word: return frequency: 52
word: get frequency: 52
word: eyes frequency: 52
word: continued frequency: 51
word: walk frequency: 51
word: reason frequency: 51
word: daughters frequency: 50
word: yourself frequency: 50
word: husband frequency: 50
word: pride frequency: 50
word: word frequency: 49
word: idea frequency: 49
word: cousin frequency: 49
word: rosings frequency: 49
word: regard frequency: 49
word: suppose frequency: 48
word: settled frequency: 48
word: object frequency: 48
word: perfectly frequency: 47
word: ill frequency: 47
word: course frequency: 47
word: wife frequency: 47
word: william frequency: 46
word: point frequency: 46
word: business frequency: 46
word: half frequency: 46
word: hardly frequency: 46
word: heart frequency: 45
word: manners frequency: 45
word: girls frequency: 45
word: ought frequency: 45
word: returned frequency: 45
word: scarcely frequency: 45
word: impossible frequency: 44
word: want frequency: 44
word: longer frequency: 44
word: walked frequency: 44
word: agreeable frequency: 44
word: through frequency: 44
word: everything frequency: 44
word: carriage frequency: 44
word: right frequency: 44
word: help frequency: 44
word: turned frequency: 43
word: spoke frequency: 43
word: else frequency: 43
word: short frequency: 43
word: read frequency: 43
word: honour frequency: 42
word: terms frequency: 42
word: civility frequency: 42
word: ladyship frequency: 42
word: thing frequency: 42
word: power frequency: 42
word: marry frequency: 42
word: expected frequency: 42
word: country frequency: 42
word: best frequency: 41
word: back frequency: 41
word: hertfordshire frequency: 41
word: called frequency: 41
word: met frequency: 40
word: rest frequency: 40
word: convinced frequency: 40
word: asked frequency: 40
word: dare frequency: 40
word: spirits frequency: 39
word: former frequency: 39
word: pleased frequency: 39
word: mary frequency: 39
word: assure frequency: 39
word: feel frequency: 39
word: bourgh frequency: 39
word: write frequency: 39
word: fortune frequency: 39
word: forster frequency: 39
word: talking frequency: 39
word: gentleman frequency: 39
word: de frequency: 39
word: under frequency: 38
word: talked frequency: 38
word: feeling frequency: 38
word: near frequency: 38
word: wished frequency: 38
word: neither frequency: 38
word: within frequency: 38
word: set frequency: 38
word: poor frequency: 38
word: everybody frequency: 38
word: situation frequency: 38
word: account frequency: 38
word: sort frequency: 38
word: sat frequency: 38
word: engaged frequency: 38
word: gentlemen frequency: 38
