Total words: 25869
word: notice frequency: 11
word: part frequency: 11
word: ran frequency: 11
word: remained frequency: 11
word: middle frequency: 11
word: last frequency: 11
word: eat frequency: 11
word: free frequency: 11
word: thing frequency: 11
word: please frequency: 11
word: however frequency: 11
word: moving frequency: 11
word: didnt frequency: 11
word: want frequency: 11
word: stay frequency: 11
word: clear frequency: 11
word: despite frequency: 11
word: boss frequency: 11
word: paragraph frequency: 11
word: moved frequency: 11
word: quiet frequency: 10
word: refund frequency: 10
word: turn frequency: 10
word: mrs frequency: 10
word: themselves frequency: 10
word: own frequency: 10
word: provide frequency: 10
word: permission frequency: 10
word: whether frequency: 10
word: finally frequency: 10
word: agree frequency: 10
word: trademark frequency: 10
word: days frequency: 10
word: public frequency: 10
word: clearly frequency: 10
word: looking frequency: 10
word: pain frequency: 10
word: night frequency: 10
word: great frequency: 10
word: moment frequency: 10
word: such frequency: 10
word: nearly frequency: 10
word: united frequency: 10
word: doors frequency: 10
word: access frequency: 10
word: word frequency: 9
word: covered frequency: 9
word: together frequency: 9
word: train frequency: 9
word: including frequency: 9
word: taking frequency: 9
word: dressed frequency: 9
word: end frequency: 9
word: upright frequency: 9
word: tears frequency: 9
word: since frequency: 9
word: drawers frequency: 9
word: another frequency: 9
word: shut frequency: 9
word: desk frequency: 9
word: carefully frequency: 9
word: several frequency: 9
word: suddenly frequency: 9
word: place frequency: 9
word: cant frequency: 9
word: noticed frequency: 9
word: both frequency: 9
word: why frequency: 9
word: people frequency: 9
word: charwoman frequency: 9
word: information frequency: 9
word: stopped frequency: 9
word: completely frequency: 9
word: far frequency: 9
word: realised frequency: 9
word: others frequency: 9
word: cleaner frequency: 9
word: going frequency: 9
word: using frequency: 9
word: fell frequency: 9
word: told frequency: 9
word: uniform frequency: 9
word: everyone frequency: 9
word: seven frequency: 9
word: kept frequency: 8
word: position frequency: 8
word: lock frequency: 8
word: finished frequency: 8
word: eating frequency: 8
word: mouth frequency: 8
word: spread frequency: 8
word: travelling frequency: 8
word: maid frequency: 8
word: carry frequency: 8
word: fee frequency: 8
word: slightly frequency: 8
word: office frequency: 8
word: domain frequency: 8
word: writing frequency: 8
word: yes frequency: 8
word: associated frequency: 8
word: leant frequency: 8
word: having frequency: 8
word: easy frequency: 8
word: force frequency: 8
word: different frequency: 8
word: bring frequency: 8
word: need frequency: 8
word: needed frequency: 8
word: outside frequency: 8
word: couldnt frequency: 8
word: speak frequency: 8
word: half frequency: 8
word: condition frequency: 8
word: fall frequency: 8
word: job frequency: 8
word: laws frequency: 8
word: loud frequency: 8
word: hurried frequency: 8
word: peace frequency: 8
word: closed frequency: 8
word: present frequency: 8
word: across frequency: 8
word: sign frequency: 8
word: kind frequency: 8
word: knew frequency: 8
word: stand frequency: 8
word: hours frequency: 8
word: years frequency: 8
word: doorway frequency: 8
word: our frequency: 8
word: else frequency: 8
word: noise frequency: 8
word: individual frequency: 7
word: white frequency: 7
word: actually frequency: 7
word: ceiling frequency: 7
word: calm frequency: 7
word: lower frequency: 7
word: ground frequency: 7
word: breakfast frequency: 7
word: breath frequency: 7
word: rest frequency: 7
word: light frequency: 7
word: tired frequency: 7
word: man frequency: 7
word: instead frequency: 7
word: earlier frequency: 7
